State,Location Code,Education,Gender,Coverage,EmploymentStatus,Marital Status,Renew Offer Type,Vehicle Class,Vehicle Size,Policy,Policy Type,Sales Channel,Months Since Last Claim,Months Since Policy Inception,Income,Total Claim Amount,Monthly Premium Auto,Number of Open Complaints,Number of Policies,Customer Lifetime Value,Response
Arizona,Suburban,Bachelor,F,Premium,Disabled,Married,Offer4,Four-Door Car,Medsize,Personal L1,Personal Auto,Call Center,11,21,13128,771.878514,118,0,1,4447.423455,No
California,Urban,College,F,Extended,Employed,Married,Offer1,SUV,Medsize,Personal L3,Personal Auto,Agent,5,87,58946,486.720776,121,0,1,4823.558028,No
Oregon,Urban,College,M,Basic,Employed,Single,Offer2,Four-Door Car,Medsize,Personal L3,Personal Auto,Branch,26,69,31614,234.683628,71,0,4,5420.361822,No
California,Urban,Bachelor,F,Basic,Employed,Single,Offer1,Four-Door Car,Medsize,Personal L2,Personal Auto,Web,25,53,44667,245.661376,65,0,2,7583.141211,No
Oregon,Suburban,College,M,Premium,Unemployed,Single,Offer3,Four-Door Car,Small,Personal L3,Personal Auto,Agent,33,76,0,937.824847,111,0,1,3852.425156,No
California,Suburban,High School or Below,M,Basic,Employed,Married,Offer3,Luxury Car,Medsize,Personal L3,Personal Auto,Branch,6,86,91512,907.2,189,0,1,7647.451823,No
Oregon,Suburban,High School or Below,F,Basic,Medical Leave,Divorced,Offer2,Four-Door Car,Medsize,Personal L1,Personal Auto,Call Center,13,65,26540,331.2,69,1,5,5229.68034,No
Oregon,Suburban,Bachelor,M,Basic,Unemployed,Single,Offer1,SUV,Medsize,Personal L2,Personal Auto,Agent,35,76,0,741.6,103,0,1,3614.078436,No
Nevada,Urban,High School or Below,M,Basic,Employed,Married,Offer2,Four-Door Car,Medsize,Personal L3,Personal Auto,Web,24,48,38798,332.945455,72,0,1,2853.512645,No
Oregon,Suburban,Bachelor,F,Basic,Unemployed,Married,Offer1,Sports Car,Medsize,Personal L3,Personal Auto,Call Center,0,6,0,561.6,117,0,4,8543.325539,No
Oregon,Rural,Bachelor,F,Basic,Employed,Married,Offer4,Four-Door Car,Large,Personal L3,Personal Auto,Call Center,21,28,65629,89.411365,64,0,3,5150.416511,No
Nevada,Rural,Master,F,Basic,Employed,Married,Offer1,Four-Door Car,Medsize,Personal L3,Personal Auto,Agent,30,2,33291,172.226165,73,1,2,8723.667123,No
California,Rural,College,F,Extended,Employed,Divorced,Offer1,Four-Door Car,Medsize,Personal L3,Personal Auto,Branch,0,30,57264,129.249842,84,1,2,16477.47799,No
California,Rural,Bachelor,F,Basic,Employed,Divorced,Offer1,SUV,Medsize,Personal L3,Personal Auto,Agent,20,10,60970,94.496547,110,0,2,26338.58626,No
Oregon,Suburban,College,M,Basic,Employed,Married,Offer2,SUV,Medsize,Corporate L3,Corporate Auto,Branch,23,71,34220,523.2,109,1,1,4244.470352,No
Arizona,Rural,Master,M,Basic,Employed,Divorced,Offer2,Four-Door Car,Small,Personal L3,Personal Auto,Branch,9,71,88997,174.041566,72,0,3,5757.442258,Yes
Arizona,Urban,Doctor,M,Basic,Medical Leave,Married,Offer3,Four-Door Car,Large,Personal L3,Personal Auto,Agent,10,65,18779,215.255721,63,0,4,4826.831451,No
Oregon,Urban,College,M,Basic,Employed,Married,Offer1,SUV,Medsize,Corporate L3,Corporate Auto,Agent,3,46,50825,369.614729,102,0,3,8092.87696,Yes
Arizona,Suburban,High School or Below,M,Extended,Unemployed,Single,Offer1,Four-Door Car,Medsize,Personal L3,Personal Auto,Web,18,41,0,569.130423,86,0,1,3011.270628,No
California,Suburban,High School or Below,F,Basic,Employed,Married,Offer3,Four-Door Car,Medsize,Personal L1,Personal Auto,Agent,33,40,29218,502.369442,72,0,2,8663.919296,No
California,Rural,High School or Below,M,Basic,Employed,Married,Offer2,Two-Door Car,Medsize,Special L3,Special Auto,Agent,16,55,95697,114.273025,61,0,1,2471.528431,Yes
Oregon,Urban,Doctor,F,Basic,Employed,Married,Offer2,Two-Door Car,Medsize,Personal L3,Personal Auto,Call Center,2,65,61486,334.13351,70,0,3,5627.297887,No
Arizona,Suburban,Bachelor,F,Basic,Unemployed,Married,Offer3,Four-Door Car,Medsize,Personal L3,Personal Auto,Call Center,6,25,0,326.4,68,0,2,7494.087341,No
Oregon,Suburban,Bachelor,F,Basic,Disabled,Married,Offer1,Two-Door Car,Medsize,Personal L3,Personal Auto,Agent,3,40,17723,345.6,72,0,3,5452.625449,No
California,Suburban,High School or Below,M,Basic,Employed,Married,Offer2,Four-Door Car,Small,Personal L2,Personal Auto,Call Center,8,23,72421,312,65,0,1,2592.437797,Yes
California,Urban,College,F,Extended,Employed,Married,Offer1,Four-Door Car,Medsize,Personal L3,Personal Auto,Call Center,10,36,36510,286.781601,84,0,6,6721.893743,No
Oregon,Suburban,Bachelor,M,Basic,Employed,Divorced,Offer4,Two-Door Car,Medsize,Personal L3,Personal Auto,Call Center,32,12,35396,336,70,0,3,5500.576161,No
Oregon,Urban,College,F,Basic,Employed,Married,Offer3,Four-Door Car,Medsize,Special L2,Special Auto,Agent,31,13,69230,283.241868,63,0,1,2550.659053,No
Washington,Urban,Master,F,Premium,Employed,Married,Offer3,SUV,Medsize,Corporate L1,Corporate Auto,Agent,1,63,28054,571.663256,195,1,1,7771.582097,No
California,Suburban,College,F,Premium,Medical Leave,Married,Offer1,Four-Door Car,Small,Personal L2,Personal Auto,Agent,20,56,25866,523.2,109,0,1,4236.301454,No
Oregon,Suburban,Bachelor,F,Premium,Medical Leave,Married,Offer1,Four-Door Car,Medsize,Personal L2,Personal Auto,Branch,4,31,23675,707.925645,117,0,7,9025.067525,No
California,Suburban,Master,M,Basic,Unemployed,Married,Offer2,Two-Door Car,Medsize,Personal L1,Personal Auto,Agent,22,45,0,340.8,71,0,1,2615.911934,No
Nevada,Suburban,Bachelor,F,Basic,Unemployed,Married,Offer2,Four-Door Car,Large,Personal L3,Personal Auto,Call Center,6,71,0,433.160284,66,2,1,2396.219292,Yes
California,Suburban,Bachelor,F,Basic,Unemployed,Single,Offer1,Two-Door Car,Medsize,Personal L3,Personal Auto,Branch,16,81,0,326.4,68,0,6,4784.416267,No
Nevada,Suburban,College,M,Basic,Retired,Married,Offer2,Sports Car,Medsize,Personal L3,Personal Auto,Agent,18,50,28142,701.708239,105,0,1,3873.647046,Yes
Oregon,Suburban,College,M,Basic,Employed,Married,Offer3,Four-Door Car,Medsize,Corporate L3,Corporate Auto,Web,1,56,23706,326.4,68,1,2,7806.137458,No
Arizona,Suburban,College,M,Extended,Unemployed,Married,Offer2,SUV,Large,Personal L1,Personal Auto,Agent,0,80,0,628.8,131,0,1,4717.625727,No
Washington,Suburban,Bachelor,M,Extended,Unemployed,Single,Offer2,Four-Door Car,Small,Corporate L3,Corporate Auto,Call Center,34,31,0,872.203927,85,0,3,5625.908671,No
Nevada,Rural,Master,F,Basic,Employed,Married,Offer2,Two-Door Car,Large,Personal L1,Personal Auto,Branch,19,27,83527,39.127298,64,1,3,5182.941518,No
Arizona,Suburban,High School or Below,M,Extended,Employed,Single,Offer1,Four-Door Car,Medsize,Personal L3,Personal Auto,Agent,17,72,26876,364.8,76,0,8,6005.214792,Yes
Arizona,Rural,High School or Below,F,Extended,Employed,Divorced,Offer2,Sports Car,Medsize,Corporate L3,Corporate Auto,Branch,33,86,55099,260.265417,122,0,3,9837.507586,No
Arizona,Suburban,College,F,Basic,Employed,Married,Offer4,Four-Door Car,Small,Personal L3,Personal Auto,Branch,7,92,71661,312,65,0,4,5206.028448,No
Oregon,Suburban,Bachelor,M,Extended,Medical Leave,Married,Offer1,Luxury SUV,Medsize,Personal L1,Personal Auto,Call Center,5,50,18047,1350.379181,242,0,2,36293.14678,No
Washington,Rural,College,M,Basic,Employed,Married,Offer1,Two-Door Car,Medsize,Personal L3,Personal Auto,Agent,8,82,90893,70.712507,70,0,1,2837.109178,No
Nevada,Rural,College,M,Premium,Employed,Married,Offer1,Four-Door Car,Medsize,Personal L2,Personal Auto,Web,28,34,90016,20.405935,102,4,2,11785.04181,No
California,Suburban,Bachelor,M,Extended,Employed,Single,Offer1,Four-Door Car,Medsize,Personal L3,Personal Auto,Branch,18,2,81285,441.765368,81,2,1,3124.933827,No
Nevada,Suburban,Bachelor,F,Basic,Employed,Married,Offer4,Sports Car,Large,Personal L2,Personal Auto,Agent,20,74,96950,633.132017,115,0,2,13862.10016,No
California,Suburban,Doctor,M,Basic,Employed,Single,Offer2,Two-Door Car,Medsize,Special L1,Special Auto,Call Center,31,48,24814,331.2,69,0,2,8200.269735,No
Oregon,Suburban,High School or Below,F,Extended,Unemployed,Single,Offer1,Two-Door Car,Medsize,Corporate L3,Corporate Auto,Agent,14,16,0,648,90,3,2,8456.268179,No
Nevada,Rural,Bachelor,M,Basic,Unemployed,Married,Offer4,Two-Door Car,Medsize,Personal L3,Personal Auto,Web,17,14,0,60.5975,61,1,1,2124.173841,No
Oregon,Urban,Master,F,Premium,Employed,Divorced,Offer1,Four-Door Car,Medsize,Personal L2,Personal Auto,Agent,30,22,52572,441.623031,113,0,3,9045.111945,No
Arizona,Suburban,Doctor,M,Extended,Unemployed,Married,Offer2,Two-Door Car,Large,Corporate L2,Corporate Auto,Call Center,27,29,0,595.160486,85,0,1,3187.351993,No
California,Rural,High School or Below,F,Basic,Employed,Married,Offer1,Four-Door Car,Medsize,Corporate L3,Corporate Auto,Agent,16,74,41701,64.646458,68,0,2,8113.962284,No
Oregon,Suburban,College,M,Basic,Unemployed,Divorced,Offer2,Sports Car,Medsize,Personal L3,Personal Auto,Agent,26,66,0,499.2,104,0,2,34039.05613,No
Arizona,Suburban,High School or Below,M,Extended,Unemployed,Married,Offer1,Four-Door Car,Medsize,Corporate L2,Corporate Auto,Agent,7,77,0,384,80,0,2,9087.586819,No
California,Suburban,Bachelor,M,Basic,Employed,Married,Offer2,Sports Car,Medsize,Corporate L3,Corporate Auto,Web,15,26,34179,770.4,107,0,2,12519.79639,No
Oregon,Suburban,Bachelor,M,Extended,Retired,Married,Offer2,Two-Door Car,Medsize,Personal L2,Personal Auto,Agent,13,62,27681,398.4,83,0,9,6057.07208,Yes
Arizona,Suburban,Bachelor,M,Basic,Unemployed,Divorced,Offer2,Four-Door Car,Small,Corporate L3,Corporate Auto,Branch,34,2,0,359.35328,73,0,4,4967.044248,No
Washington,Suburban,Bachelor,F,Basic,Unemployed,Single,Offer2,Four-Door Car,Medsize,Personal L3,Personal Auto,Agent,19,66,0,504,70,1,2,6933.335325,No
Washington,Rural,High School or Below,F,Basic,Employed,Married,Offer3,Two-Door Car,Medsize,Personal L3,Personal Auto,Branch,21,53,78494,78.189401,69,0,2,22399.12944,No
Nevada,Suburban,College,F,Basic,Unemployed,Single,Offer1,Two-Door Car,Medsize,Personal L3,Personal Auto,Branch,18,95,0,316.8,66,2,1,2162.417356,No
Oregon,Suburban,Bachelor,M,Premium,Employed,Married,Offer1,SUV,Small,Personal L3,Personal Auto,Agent,27,32,56044,952.849701,182,0,2,21776.5819,No
Oregon,Suburban,College,M,Basic,Employed,Married,Offer2,SUV,Medsize,Personal L3,Personal Auto,Call Center,11,42,37937,556.8,116,0,5,9095.049868,Yes
Arizona,Rural,High School or Below,F,Basic,Employed,Single,Offer1,SUV,Medsize,Personal L2,Personal Auto,Branch,12,76,77853,165.237444,106,0,1,4228.248035,No
Arizona,Suburban,College,F,Extended,Employed,Married,Offer2,Four-Door Car,Medsize,Personal L1,Personal Auto,Agent,26,19,72608,393.6,82,3,8,6521.368813,Yes
California,Suburban,High School or Below,M,Extended,Employed,Married,Offer1,SUV,Medsize,Personal L3,Personal Auto,Agent,28,34,36568,978.621302,128,0,6,10209.02324,No
Arizona,Suburban,High School or Below,M,Basic,Unemployed,Single,Offer2,SUV,Medsize,Personal L3,Personal Auto,Branch,17,58,0,796.987409,110,2,3,7600.443798,No
Washington,Urban,Bachelor,F,Extended,Employed,Married,Offer1,Four-Door Car,Medsize,Corporate L3,Corporate Auto,Branch,1,50,59578,403.67601,98,1,1,3894.623983,No
Oregon,Suburban,High School or Below,M,Basic,Employed,Married,Offer2,SUV,Medsize,Personal L2,Personal Auto,Web,18,25,26032,638.098653,109,0,3,8510.758196,No
Oregon,Suburban,High School or Below,M,Basic,Employed,Married,Offer1,Four-Door Car,Small,Corporate L3,Corporate Auto,Agent,0,55,39618,326.4,68,0,1,2712.832687,No
Arizona,Suburban,High School or Below,M,Basic,Unemployed,Single,Offer3,Four-Door Car,Medsize,Personal L3,Personal Auto,Agent,8,47,0,625.483498,65,0,1,2258.793954,No
California,Urban,College,M,Extended,Employed,Single,Offer3,SUV,Small,Special L2,Special Auto,Branch,33,55,59438,562.667789,124,0,1,4815.851943,No
Washington,Suburban,High School or Below,F,Basic,Unemployed,Divorced,Offer1,Sports Car,Medsize,Personal L3,Personal Auto,Web,12,93,0,537.6,112,0,3,8007.399376,Yes
Washington,Urban,Bachelor,M,Extended,Unemployed,Single,Offer1,Four-Door Car,Medsize,Personal L3,Personal Auto,Branch,2,55,0,401.484738,87,0,1,3008.969524,No
Washington,Rural,Bachelor,F,Basic,Employed,Single,Offer2,Four-Door Car,Medsize,Personal L3,Personal Auto,Web,11,2,89451,61.769564,63,0,1,2530.705137,Yes
Arizona,Rural,High School or Below,M,Extended,Employed,Divorced,Offer1,Four-Door Car,Medsize,Personal L3,Personal Auto,Call Center,26,88,44695,147.954285,91,0,2,10787.11572,No
California,Suburban,High School or Below,F,Premium,Employed,Married,Offer1,Four-Door Car,Medsize,Personal L3,Personal Auto,Branch,2,86,24581,484.8,101,0,2,11923.75365,No
Arizona,Urban,Bachelor,M,Basic,Unemployed,Married,Offer2,Four-Door Car,Medsize,Personal L2,Personal Auto,Call Center,27,95,0,194.944319,73,1,6,5186.359717,No
Arizona,Urban,Bachelor,F,Extended,Employed,Married,Offer3,SUV,Medsize,Corporate L2,Corporate Auto,Call Center,26,66,72334,412.829624,129,3,6,10103.64886,No
Oregon,Suburban,High School or Below,M,Extended,Medical Leave,Married,Offer1,Four-Door Car,Medsize,Personal L2,Personal Auto,Agent,8,88,19831,398.4,83,0,7,6438.995346,No
California,Rural,High School or Below,M,Extended,Employed,Married,Offer2,Four-Door Car,Medsize,Personal L3,Personal Auto,Branch,3,98,40361,71.169255,98,0,1,3909.636524,No
California,Urban,Bachelor,M,Premium,Employed,Divorced,Offer3,Four-Door Car,Medsize,Personal L2,Personal Auto,Call Center,0,6,74656,504.365927,111,0,2,13211.01092,No
Oregon,Suburban,Master,M,Extended,Employed,Single,Offer4,SUV,Medsize,Personal L1,Personal Auto,Branch,1,13,25358,750.58561,126,0,2,14616.36817,No
California,Rural,Bachelor,M,Extended,Employed,Married,Offer1,Four-Door Car,Medsize,Corporate L3,Corporate Auto,Agent,26,57,35461,9.214343,95,1,1,3732.345012,No
California,Suburban,Doctor,M,Extended,Employed,Divorced,Offer1,Four-Door Car,Medsize,Personal L3,Personal Auto,Web,2,73,59047,364.8,76,3,2,8750.643581,No
Nevada,Urban,College,F,Extended,Employed,Divorced,Offer2,Four-Door Car,Small,Personal L2,Personal Auto,Agent,16,50,62409,392.686432,89,0,2,10662.63422,No
California,Urban,College,F,Extended,Employed,Married,Offer2,Four-Door Car,Medsize,Personal L3,Personal Auto,Branch,3,54,93272,281.110788,95,0,1,3861.486269,Yes
California,Suburban,College,F,Extended,Unemployed,Married,Offer1,Sports Car,Medsize,Personal L3,Personal Auto,Branch,18,48,0,970.456654,135,0,4,9807.829589,No
Oregon,Suburban,Bachelor,M,Extended,Employed,Married,Offer4,Two-Door Car,Medsize,Personal L3,Personal Auto,Call Center,19,28,20166,398.4,83,0,1,3252.828464,No
Washington,Suburban,High School or Below,F,Basic,Unemployed,Single,Offer2,Four-Door Car,Small,Personal L1,Personal Auto,Call Center,13,68,0,355.2,74,0,1,2711.899826,No
California,Suburban,Bachelor,M,Basic,Medical Leave,Single,Offer1,Four-Door Car,Medsize,Personal L2,Personal Auto,Agent,3,92,29735,331.2,69,0,1,2453.570794,Yes
California,Suburban,High School or Below,M,Basic,Unemployed,Single,Offer3,Four-Door Car,Medsize,Corporate L3,Corporate Auto,Branch,1,63,0,772.83851,64,0,2,11228.28966,No
California,Suburban,High School or Below,F,Basic,Employed,Married,Offer4,SUV,Medsize,Personal L3,Personal Auto,Branch,20,62,97460,660.135987,114,0,2,23020.89147,No
Arizona,Suburban,College,M,Basic,Employed,Married,Offer3,Two-Door Car,Medsize,Personal L1,Personal Auto,Agent,5,48,57564,302.4,63,1,1,2458.447909,No
Arizona,Urban,Bachelor,F,Extended,Employed,Married,Offer3,Four-Door Car,Medsize,Special L2,Special Auto,Branch,21,81,33232,435.527845,94,0,2,11160.07706,No
Arizona,Suburban,College,F,Premium,Medical Leave,Married,Offer1,Four-Door Car,Medsize,Personal L1,Personal Auto,Call Center,19,64,11854,807.721213,113,0,2,13118.74322,No
California,Urban,College,F,Extended,Medical Leave,Married,Offer3,Four-Door Car,Medsize,Personal L3,Personal Auto,Branch,1,42,23843,344.693511,79,0,5,6120.185345,No
Arizona,Urban,College,F,Premium,Disabled,Married,Offer2,Sports Car,Medsize,Personal L2,Personal Auto,Agent,28,51,17961,476.707749,181,0,3,13881.03947,No
California,Suburban,College,F,Basic,Unemployed,Married,Offer2,Four-Door Car,Medsize,Personal L2,Personal Auto,Agent,17,84,0,360.110955,64,0,3,4787.472973,No
Arizona,Suburban,College,F,Basic,Employed,Married,Offer1,SUV,Medsize,Personal L3,Personal Auto,Branch,6,94,54695,494.4,103,0,5,8177.048957,No
California,Rural,College,M,Extended,Employed,Married,Offer2,Two-Door Car,Medsize,Personal L3,Personal Auto,Call Center,23,4,85632,7.2574,82,0,1,3309.248219,No
California,Suburban,Bachelor,F,Extended,Unemployed,Divorced,Offer1,SUV,Medsize,Personal L1,Personal Auto,Call Center,5,56,0,667.2,139,0,2,14635.45158,Yes
California,Urban,High School or Below,F,Extended,Unemployed,Married,Offer2,Four-Door Car,Medsize,Personal L3,Personal Auto,Agent,11,14,0,277.220384,76,4,3,5120.615661,No
Oregon,Urban,High School or Below,F,Premium,Employed,Married,Offer3,SUV,Small,Personal L3,Personal Auto,Agent,32,45,39895,765.591167,160,0,2,19253.03441,No
Washington,Suburban,Bachelor,F,Extended,Employed,Married,Offer3,Four-Door Car,Small,Personal L2,Personal Auto,Call Center,6,95,95815,393.6,82,0,3,6646.749298,No
California,Suburban,High School or Below,F,Basic,Employed,Divorced,Offer3,Four-Door Car,Small,Personal L2,Personal Auto,Agent,8,23,37224,355.2,74,0,2,8742.472473,No
California,Suburban,Bachelor,M,Extended,Unemployed,Single,Offer1,SUV,Medsize,Personal L1,Personal Auto,Call Center,2,73,0,1100.088685,122,0,5,8467.369513,No
Nevada,Suburban,College,F,Extended,Employed,Married,Offer1,Four-Door Car,Medsize,Personal L3,Personal Auto,Branch,18,88,94652,412.8,86,0,3,6992.531494,No
Arizona,Suburban,Bachelor,F,Basic,Employed,Single,Offer2,Sports Car,Small,Personal L2,Personal Auto,Agent,27,24,28582,537.6,112,0,2,13037.03339,No
Nevada,Rural,High School or Below,F,Extended,Employed,Divorced,Offer1,SUV,Medsize,Corporate L1,Corporate Auto,Agent,32,70,91123,103.462381,138,3,8,10883.78785,No
Arizona,Rural,Bachelor,M,Premium,Employed,Married,Offer3,Four-Door Car,Medsize,Personal L2,Personal Auto,Agent,16,36,85942,79.340118,116,2,5,9114.276632,No
Nevada,Rural,High School or Below,F,Premium,Employed,Divorced,Offer1,Luxury SUV,Medsize,Personal L3,Personal Auto,Agent,4,75,64321,422.438297,253,0,2,30442.53824,No
Arizona,Suburban,Doctor,M,Basic,Employed,Single,Offer1,Two-Door Car,Medsize,Personal L1,Personal Auto,Agent,18,44,77025,380.917107,64,2,3,5104.354719,No
Oregon,Suburban,High School or Below,M,Basic,Retired,Married,Offer2,Two-Door Car,Medsize,Personal L1,Personal Auto,Branch,35,62,16997,468,65,3,1,2174.111987,No
California,Rural,Bachelor,M,Extended,Employed,Married,Offer1,Sports Car,Medsize,Personal L1,Personal Auto,Agent,13,12,52408,179.125777,125,0,9,9890.210998,No
California,Suburban,Bachelor,M,Premium,Unemployed,Married,Offer2,Four-Door Car,Large,Personal L3,Personal Auto,Branch,7,73,0,556.8,116,1,7,8719.125849,No
Nevada,Suburban,Bachelor,M,Basic,Employed,Married,Offer1,SUV,Medsize,Corporate L2,Corporate Auto,Call Center,3,21,37573,537.6,112,3,3,8516.751366,No
Nevada,Suburban,High School or Below,F,Extended,Employed,Married,Offer2,Two-Door Car,Medsize,Personal L1,Personal Auto,Call Center,3,75,45893,465.6,97,0,2,11606.84868,No
California,Suburban,High School or Below,F,Extended,Unemployed,Married,Offer1,Four-Door Car,Large,Corporate L3,Corporate Auto,Agent,31,34,0,460.8,96,0,1,3731.504584,Yes
Nevada,Suburban,College,M,Extended,Employed,Single,Offer1,Two-Door Car,Small,Personal L2,Personal Auto,Agent,18,8,29385,422.4,88,2,1,3303.090814,No
California,Suburban,College,M,Extended,Employed,Single,Offer4,Two-Door Car,Medsize,Personal L1,Personal Auto,Agent,24,24,21509,413.492922,81,1,2,8888.875454,No
Arizona,Suburban,Bachelor,F,Basic,Employed,Married,Offer1,Four-Door Car,Large,Personal L1,Personal Auto,Web,29,98,68144,336,70,4,2,8173.50314,No
Nevada,Suburban,Bachelor,M,Basic,Employed,Married,Offer2,Four-Door Car,Medsize,Personal L2,Personal Auto,Branch,3,78,31093,302.4,63,0,3,4923.950434,No
Arizona,Suburban,High School or Below,M,Basic,Employed,Married,Offer2,Four-Door Car,Medsize,Corporate L2,Corporate Auto,Branch,6,89,24350,350.4,73,3,1,2823.501795,No
Washington,Suburban,College,M,Basic,Employed,Married,Offer2,SUV,Medsize,Personal L3,Personal Auto,Agent,1,36,32823,480,100,0,8,7824.372789,No
Washington,Urban,College,M,Basic,Employed,Single,Offer1,SUV,Medsize,Personal L2,Personal Auto,Branch,14,34,44843,391.419263,105,0,3,8311.854644,No
Oregon,Suburban,Master,F,Basic,Employed,Married,Offer4,Four-Door Car,Small,Corporate L1,Corporate Auto,Agent,25,56,59364,321.6,67,0,5,5384.532684,No
Oregon,Rural,College,M,Extended,Employed,Married,Offer3,Four-Door Car,Medsize,Personal L3,Personal Auto,Branch,34,24,39101,167.174678,99,0,1,3978.665051,No
California,Suburban,High School or Below,M,Extended,Unemployed,Married,Offer4,Two-Door Car,Medsize,Personal L3,Personal Auto,Agent,2,46,0,432,90,1,3,6237.507291,No
Washington,Suburban,High School or Below,F,Extended,Disabled,Married,Offer2,Two-Door Car,Medsize,Corporate L3,Corporate Auto,Agent,20,45,27604,441.6,92,1,9,6969.880958,No
California,Suburban,High School or Below,F,Basic,Employed,Married,Offer2,Four-Door Car,Large,Personal L2,Personal Auto,Web,18,37,91603,307.2,64,5,8,5024.029643,No
Washington,Suburban,Master,F,Basic,Employed,Married,Offer1,SUV,Large,Personal L1,Personal Auto,Call Center,25,49,59828,499.2,104,0,8,8414.080425,No
Nevada,Urban,College,M,Basic,Employed,Married,Offer2,Four-Door Car,Medsize,Special L3,Special Auto,Web,26,47,33247,284.956298,72,0,1,2801.562831,No
California,Suburban,College,M,Extended,Employed,Married,Offer1,Sports Car,Medsize,Personal L2,Personal Auto,Agent,31,12,45867,604.8,126,0,1,5010.917847,No
California,Rural,College,F,Basic,Employed,Single,Offer1,Four-Door Car,Large,Personal L3,Personal Auto,Branch,17,88,54827,132.947215,64,0,3,4997.780688,No
California,Suburban,Bachelor,F,Basic,Unemployed,Married,Offer4,Two-Door Car,Medsize,Corporate L1,Corporate Auto,Call Center,12,56,0,307.2,64,3,1,2236.085718,No
Arizona,Suburban,Bachelor,M,Extended,Employed,Married,Offer3,Sports Car,Medsize,Corporate L3,Corporate Auto,Agent,4,57,47170,667.2,139,0,3,10934.73726,No
California,Urban,Bachelor,F,Extended,Employed,Married,Offer3,Four-Door Car,Medsize,Personal L1,Personal Auto,Branch,17,66,21947,366.90936,83,0,1,3289.132998,No
Oregon,Suburban,College,F,Basic,Employed,Married,Offer3,SUV,Small,Personal L2,Personal Auto,Branch,11,94,39018,561.6,117,0,2,14014.10119,No
Arizona,Urban,Master,M,Basic,Employed,Married,Offer2,Four-Door Car,Medsize,Personal L3,Personal Auto,Call Center,0,64,20252,198.227061,71,0,3,5604.330774,No
Oregon,Suburban,Bachelor,M,Extended,Unemployed,Single,Offer3,Four-Door Car,Medsize,Personal L1,Personal Auto,Agent,29,81,0,633.6,88,0,1,2912.235077,No
Oregon,Suburban,Master,M,Basic,Employed,Married,Offer3,Two-Door Car,Small,Corporate L3,Corporate Auto,Agent,30,46,48602,487.884823,70,0,5,5616.845326,No
California,Urban,Bachelor,F,Basic,Employed,Married,Offer4,Four-Door Car,Small,Special L3,Special Auto,Agent,32,45,97849,183.117146,62,0,2,7504.685954,No
Oregon,Rural,College,F,Extended,Employed,Married,Offer2,Two-Door Car,Large,Personal L1,Personal Auto,Call Center,14,38,41479,19.575683,94,1,1,3746.751625,Yes
Oregon,Urban,Bachelor,F,Basic,Employed,Divorced,Offer1,Four-Door Car,Medsize,Personal L1,Personal Auto,Call Center,17,91,69746,225.032781,74,0,1,2959.819985,No
California,Suburban,Bachelor,M,Extended,Employed,Married,Offer2,Two-Door Car,Medsize,Personal L3,Personal Auto,Branch,13,68,96748,460.8,96,0,9,7725.535708,No
Oregon,Suburban,Bachelor,M,Premium,Employed,Married,Offer1,Two-Door Car,Medsize,Personal L1,Personal Auto,Branch,17,8,25074,537.6,112,0,2,13248.63735,No
Nevada,Suburban,Master,M,Basic,Employed,Married,Offer2,Two-Door Car,Small,Personal L3,Personal Auto,Agent,28,80,66463,326.4,68,0,1,2717.781848,No
Washington,Urban,High School or Below,M,Basic,Employed,Married,Offer3,Four-Door Car,Medsize,Corporate L1,Corporate Auto,Call Center,15,16,34865,255.946801,69,0,1,2734.149158,No
California,Urban,College,M,Premium,Employed,Married,Offer1,Four-Door Car,Medsize,Personal L3,Personal Auto,Call Center,30,22,37399,392.826082,116,0,3,9199.388961,No
California,Suburban,College,M,Premium,Disabled,Divorced,Offer1,Sports Car,Small,Corporate L3,Corporate Auto,Call Center,6,47,21070,1404,195,0,2,29049.71315,No
Oregon,Suburban,Bachelor,F,Basic,Employed,Married,Offer4,Four-Door Car,Medsize,Personal L2,Personal Auto,Branch,9,5,31562,316.8,66,4,7,4956.620638,No
California,Suburban,Master,F,Basic,Employed,Divorced,Offer3,Four-Door Car,Small,Personal L3,Personal Auto,Agent,28,49,54684,487.070965,71,2,3,5574.959174,No
Oregon,Suburban,High School or Below,M,Basic,Employed,Married,Offer4,SUV,Medsize,Corporate L1,Corporate Auto,Branch,30,21,37388,561.6,117,0,5,9192.592887,No
Nevada,Rural,Bachelor,F,Extended,Employed,Married,Offer1,Four-Door Car,Small,Personal L3,Personal Auto,Agent,6,96,84981,4.719043,96,0,1,3878.770231,No
Nevada,Suburban,Master,M,Premium,Medical Leave,Married,Offer4,Two-Door Car,Small,Personal L2,Personal Auto,Agent,27,47,24046,556.8,116,0,1,4419.116971,No
California,Suburban,High School or Below,M,Extended,Retired,Divorced,Offer2,SUV,Medsize,Personal L3,Personal Auto,Agent,35,90,20993,638.4,133,0,1,4772.943848,Yes
Oregon,Suburban,College,M,Basic,Employed,Divorced,Offer2,SUV,Medsize,Personal L2,Personal Auto,Agent,9,79,48029,556.8,116,0,7,9101.523916,No
Arizona,Suburban,Bachelor,M,Basic,Disabled,Married,Offer4,Luxury Car,Medsize,Personal L1,Personal Auto,Web,17,68,16233,1418.4,197,0,1,7609.089616,No
Arizona,Suburban,College,M,Basic,Employed,Married,Offer1,Two-Door Car,Medsize,Personal L3,Personal Auto,Call Center,26,49,30718,321.6,67,1,1,2668.662697,No
